Title,Title_link,name,index,count,mark-neww,Price
Intel Core i9-9900K @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900K+%40+3.60GHz&id=3334,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900K+%40+3.60GHz&id=3334,(45.9%),49.9,"18,859",$377.99
Intel Core i9-9900KF @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900KF+%40+3.60GHz&id=3435,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900KF+%40+3.60GHz&id=3435,(45.9%),49.9,"18,856",$377.99
Intel Core i5-9600K @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600K+%40+3.70GHz&id=3337,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600K+%40+3.70GHz&id=3337,(45.6%),49.6,"10,827",$218.50
Intel Xeon E5-2680 v4 @ 2.40GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+v4+%40+2.40GHz&id=2779,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+v4+%40+2.40GHz&id=2779,(45.6%),49.5,"18,264",$369.02
AMD Ryzen 3 3300X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3300X&id=3716,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+3300X&id=3716,(45.1%),49.0,"12,743",$259.99
Intel Core i7-9700KF @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700KF+%40+3.60GHz&id=3428,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700KF+%40+3.60GHz&id=3428,(44.2%),48.0,"14,629",$304.61
AMD Ryzen 9 3950X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3950X&id=3598,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3950X&id=3598,(44.0%),47.8,"39,230",$819.99
Intel Core i9-11900K @ 3.50GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-11900K+%40+3.50GHz&id=3904,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-11900K+%40+3.50GHz&id=3904,(43.4%),47.2,"25,938",$549.99
AMD Ryzen 7 1700X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700X&id=2969,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+1700X&id=2969,(43.4%),47.1,"15,534",$329.65
Intel Core i7-9700 @ 3.00GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700+%40+3.00GHz&id=3477,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700+%40+3.00GHz&id=3477,(42.9%),46.6,"13,484",$289.12
Intel Core i9-9940X @ 3.30GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9940X+%40+3.30GHz&id=3358,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9940X+%40+3.30GHz&id=3358,(42.7%),46.4,"28,264",$608.98
Intel Core i9-9900 @ 3.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900+%40+3.10GHz&id=3487,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9900+%40+3.10GHz&id=3487,(42.1%),45.8,"17,102",$373.75
